"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","123604","Verify that owner can create the document and sign it from the need your signature report.","chromium","2026-07-16","broken","2026-07-16","Need your signature","MainAppPages/ReportNeedYourSign.spec.js","",""
"","9295","Verify that signature widgets Copy widget to all pages but first function correctly in Sign Yourself.","chromium","2026-07-16","passed","2026-07-16","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","8148","Verify that Teams plan user can delete OrgAdmin if available","chromium","2026-07-16","passed","2026-07-16","Console app","ConsoleApp/ConsoleOrgAdmins.spec.js","",""
"","12873","Verify that Prefill text widget Copy widget next to current widget function correctly in request signature.","chromium","2026-07-16","passed","2026-07-16","Request signature","MainAppPages/Request_Signature.spec.js","",""
"","121784","Verify that a new free user is unable to send the document through bulk send and is prompted to upgrade.","chromium","2026-07-16","broken","2026-07-16","Templates","MainAppPages/CreateTemplate.spec.js","",""
"","4204","Verify that a Teams plan user can disable and enable a team from the Teams list.","chromium","2026-07-16","passed","2026-07-16","","MainAppPages/Teams.spec.js","",""
"Verify login page has correct page title on initial load","1083","Verify that login page displays correct page title","chromium","2026-07-16","passed","2026-07-16","Login Page Tests > Positive Login Tests","MainAppPages/Login.spec.js","",""
"","12554","Verify that the document created from a template appears in the Recently Sent for Signatures section on the dashboard.","chromium","2026-07-16","passed","2026-07-16","","MainAppPages/Dashboard.spec.js","",""
"","4504","Verify that a free user cannot access the General page and is prompted to upgrade.","chromium","2026-07-16","passed","2026-07-16","Console app - General page","ConsoleApp/General.spec.js","",""
"","25839","Verify that Teams plan user can access OrgAdmins page and add OrgAdmin","chromium","2026-07-16","passed","2026-07-16","Console app","ConsoleApp/ConsoleOrgAdmins.spec.js","",""
"","9506","Verify that text widget Copy widget to all pages but last function correctly in Sign Yourself.","chromium","2026-07-16","passed","2026-07-16","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","13764","Verify that the unfinished SignYourSelf document can be edited from the Dashboard draft document.","chromium","2026-07-16","passed","2026-07-16","","MainAppPages/Dashboard.spec.js","",""
"","6396","Free user is prompted to upgrade when accessing the Branding page.","chromium","2026-07-16","passed","2026-07-16","Console app - Branding Access Validation","ConsoleApp/ConsoleBranding.spec.js","",""
"","17553","Verify that the user can revoke the document from the In Progress document.","chromium","2026-07-16","passed","2026-07-16","Inprogress report","MainAppPages/ReportInprogress.spec.js","",""
"","4714","Verify that professional plan users cannot access the General page.","chromium","2026-07-16","passed","2026-07-16","Console app - General page","ConsoleApp/General.spec.js","",""
"","9222","Verify that initials widgets Copy widget next to current widget function correctly in Sign Yourself.","chromium","2026-07-16","passed","2026-07-16","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","14117","Verify that the merge page functions correctly and the user can sign the merged document in request signature.","chromium","2026-07-16","passed","2026-07-16","Request signature","MainAppPages/Request_Signature.spec.js","",""
"","27901","Verify that the signer can received the email from default email template.","chromium","2026-07-16","failed","2026-07-16","Templates","MainAppPages/CreateTemplate.spec.js","",""
"","9265","Verify that checkbox widget settings options function correctly in request signature.","chromium","2026-07-16","passed","2026-07-16","Request signature","MainAppPages/Request_Signature.spec.js","",""
"Verify browser back navigation on login page","3257","Verify that browser back button works correctly on login page","chromium","2026-07-16","passed","2026-07-16","Login Page Tests > Login State and Session Tests","MainAppPages/Login.spec.js","",""
"","16885","Verify the column names and the document details on the inprogress report.","chromium","2026-07-16","passed","2026-07-16","Inprogress report","MainAppPages/ReportInprogress.spec.js","",""
"Verify Create account link/button exists on login page","1106","Verify that Create account button is visible and clickable","chromium","2026-07-16","passed","2026-07-16","Login Page Tests > Login Page UI and Validation Tests","MainAppPages/Login.spec.js","",""
"","9647","Reg_TC-08 Verify Teams Yearly signup and subscription invoice email.","chromium","2026-07-16","failed","2026-07-16","SignupPage","MainAppPages/Signup.spec.js","",""
"","24716","Verify that inactive orgAdmin cannot login.","chromium","2026-07-16","passed","2026-07-16","Console app","ConsoleApp/ConsoleOrgAdmins.spec.js","",""
"","16326","Verify that textinput field widget Copy widget to all pages but first function correctly in request signature.","chromium","2026-07-16","failed","2026-07-16","Request signature","MainAppPages/Request_Signature.spec.js","",""
