"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57328","Verify that the unfinished SignYourSelf document can be edited from the Dashboard draft document.","chromium","Fri Apr 11 12:03:50 IST 2025","passed","Fri Apr 11 12:04:47 IST 2025","","MainAppPages\Dashboard.spec.js","",""
"","59918","Verify that owner can create the document and sign it from the dashboard recent signature requests.","chromium","Fri Apr 11 12:04:21 IST 2025","passed","Fri Apr 11 12:05:20 IST 2025","","MainAppPages\Dashboard.spec.js","",""
"","46156","Verify that the Out for signature count on the card increases when a new document sent for request signature.","chromium","Fri Apr 11 12:03:06 IST 2025","passed","Fri Apr 11 12:03:53 IST 2025","Dashboard","MainAppPages\Dashboard.spec.js","",""
"","32751","Verify that user can resend the email from the dashboard Recently sent for signatures.","chromium","Fri Apr 11 12:06:31 IST 2025","passed","Fri Apr 11 12:07:04 IST 2025","","MainAppPages\Dashboard.spec.js","",""
"","22481","Verify that the Sign yourself card click functions correctly and redirects the user to the Signyourself page from the dashboard.","chromium","Fri Apr 11 12:02:12 IST 2025","passed","Fri Apr 11 12:02:35 IST 2025","Dashboard","MainAppPages\Dashboard.spec.js","",""
"","27808","Verify that pagination is functioning correctly in the dashboard drafts document.","chromium","Fri Apr 11 12:03:53 IST 2025","passed","Fri Apr 11 12:04:20 IST 2025","","MainAppPages\Dashboard.spec.js","",""
"","41477","Verify that the document created from a template bulksend appears in the Recently Sent for Signatures section on the dashboard.","chromium","Fri Apr 11 12:05:49 IST 2025","passed","Fri Apr 11 12:06:31 IST 2025","","MainAppPages\Dashboard.spec.js","",""
"","31730","Verify that clicking the Out for Signatures card functions correctly and redirects the user to the In-Progress report from the dashboard.","chromium","Fri Apr 11 12:02:35 IST 2025","passed","Fri Apr 11 12:03:06 IST 2025","Dashboard","MainAppPages\Dashboard.spec.js","",""
"","32681","Verify that the Need your signature card click functions correctly and redirects the user to the Need your sign report from the dashboard.","chromium","Fri Apr 11 12:02:33 IST 2025","passed","Fri Apr 11 12:03:06 IST 2025","Dashboard","MainAppPages\Dashboard.spec.js","",""
"","33793","Verify that pagination is functioning correctly in the dashboard Recently sent for signatures.","chromium","Fri Apr 11 12:07:04 IST 2025","passed","Fri Apr 11 12:07:38 IST 2025","","MainAppPages\Dashboard.spec.js","",""
"","52963","Verify that the document created from a template appears in the Recently Sent for Signatures section on the dashboard.","chromium","Fri Apr 11 12:05:21 IST 2025","passed","Fri Apr 11 12:06:13 IST 2025","","MainAppPages\Dashboard.spec.js","",""
"","17133","Verify that pagination is functioning correctly in the dashboard recent signature requests.","chromium","Fri Apr 11 12:04:47 IST 2025","passed","Fri Apr 11 12:05:04 IST 2025","","MainAppPages\Dashboard.spec.js","",""
"","52249","Verify that the user can revoke the document from the dashboard Recently sent for signatures.","chromium","Fri Apr 11 12:07:07 IST 2025","passed","Fri Apr 11 12:07:59 IST 2025","","MainAppPages\Dashboard.spec.js","",""
"","49185","Verify that the user can rename and delete a document from the dashboard Recently sent for signatures.","chromium","Fri Apr 11 12:06:14 IST 2025","failed","Fri Apr 11 12:07:03 IST 2025","","MainAppPages\Dashboard.spec.js","",""
"","45181","Verify that the document sent for a signature request appears in the Recently Sent for Signatures section on the dashboard.","chromium","Fri Apr 11 12:05:04 IST 2025","passed","Fri Apr 11 12:05:49 IST 2025","","MainAppPages\Dashboard.spec.js","",""
"","20819","Verify that the Request signature card click functions correctly and redirects the user to the Request signature page from the dashboard.","chromium","Fri Apr 11 12:02:12 IST 2025","passed","Fri Apr 11 12:02:33 IST 2025","Dashboard","MainAppPages\Dashboard.spec.js","",""
"","43874","Verify that the Need Your Signature count on the card increases when a new document is created and the owner is added as a signer.","chromium","Fri Apr 11 12:03:06 IST 2025","passed","Fri Apr 11 12:03:50 IST 2025","Dashboard","MainAppPages\Dashboard.spec.js","",""
